"species","DD_mean","DD_sd","DD_se","DD_n","ID_C_mean","ID_C_sd","ID_C_se","ID_C_n","ID_T_mean","ID_T_sd","ID_T_se","ID_T_n","iter"
"LUAL",0.0312348425639778,0.02753294336884,0.01376647168442,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0386601523685678,0.0146325052833349,0.00731625264166746,4,"J"
"LUAL",0.0391133116210014,0.0195865084082817,0.00979325420414085,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0307816833115442,0.0240628621197828,0.0120314310598914,4,"K"
"LUAL",0.0383494383577094,0.0199548618028617,0.00997743090143085,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0315455565748362,0.0240805236121051,0.0120402618060526,4,"L"
"LUAL",0.0304775669472102,0.0273944449599367,0.0136972224799683,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0394174279853355,0.0143245816796748,0.00716229083983742,4,"M"
"LUAL",0.0297136936839182,0.02733916313094,0.01366958156547,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0401813012486275,0.0137278167393318,0.00686390836966592,4,"N"
"LUAL",0.0375921627409418,0.0201235280239299,0.0100617640119649,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0323028321916038,0.0241934345083814,0.0120967172541907,4,"O"
"LUAL",0.0485757216618525,0.0176634946889447,0.00883174734447236,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0213192732706932,0.0142005270320625,0.00710026351603124,4,"P"
"LUAL",0.0399399769880612,0.0299454487353094,0.0149727243676547,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0299550179444844,0.00676267899487243,0.00338133949743621,4,"Q"
"LUAL",0.0478184460450848,0.0184230803208545,0.00921154016042724,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0220765488874608,0.0150916068458669,0.00754580342293347,4,"R"
"LUAL",0.0470545727817928,0.0192797148567796,0.00963985742838981,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0228404221507528,0.0156951967089981,0.00784759835449904,4,"S"
"LUAL",0.0412359462445184,0.0295363045933152,0.0147681522966576,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0286590486880272,0.00557534525877942,0.00278767262938971,4,"T"
"LUAL",0.0491144153015421,0.0169660229404664,0.00848301147023319,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0207805796310036,0.0136337779648508,0.00681688898242539,4,"U"
"LUAL",0.0483505420382501,0.017966171941735,0.00898308597086752,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0215444528942956,0.0143910523420721,0.00719552617103607,4,"V"
"LUAL",0.0404786706277508,0.0297486500258714,0.0148743250129357,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0294163243047948,0.00650877480075025,0.00325438740037512,4,"W"
"LUAL",0.0397147973644588,0.0300387850333342,0.0150193925166671,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0301801975680869,0.00678201027851049,0.00339100513925525,4,"X"
"LUAL",0.0475932664214824,0.0187013221463084,0.00935066107315422,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0223017285110632,0.0152561229875707,0.00762806149378533,4,"Y"
"LUAL",0.0338433205053803,0.0266598665812331,0.0133299332906166,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0360516744271654,0.0171735347086618,0.00858676735433089,4,"Z"
"LUAL",0.0417217895624039,0.0167783986088971,0.00838919930444855,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0281732053701417,0.0245975456009826,0.0122987728004913,4,"A1"
"LUAL",0.0409579162991119,0.017360683031173,0.00868034151558648,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0289370786334337,0.0247225199184081,0.0123612599592041,4,"B1"
"LUAL",0.0330860448886127,0.0266159481305,0.01330797406525,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.036808950043933,0.0170669648287424,0.0085334824143712,4,"C1"
"LUAL",0.0323221716253206,0.0266588892943576,0.0133294446471788,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.037572823307225,0.0167288391134212,0.00836441955671061,4,"D1"
"LUAL",0.0402006406823443,0.0177036931320137,0.00885184656600683,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0296943542502014,0.0249383482139323,0.0124691741069662,4,"E1"
"LUAL",0.0343820141450699,0.0266037349142333,0.0133018674571166,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0355129807874758,0.0173297017707668,0.00866485088538339,4,"F1"
"LUAL",0.0336181408817779,0.0266961847139929,0.0133480923569964,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0362768540507678,0.0170742852399274,0.00853714261996369,4,"G1"
"LUAL",0.0414966099388015,0.0169759626302913,0.00848798131514567,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0283983849937441,0.0246246020647794,0.0123123010323897,4,"H1"
"LUAL",0.0328608652650102,0.0266437940041895,0.0133218970020948,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0370341296675354,0.0169536863964172,0.00847684319820861,4,"I1"
"LUAL",0.0370341296675354,0.0169536863964172,0.00847684319820861,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0328608652650102,0.0266437940041895,0.0133218970020948,4,"J1"
"LUAL",0.0283983849937441,0.0246246020647794,0.0123123010323897,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0414966099388015,0.0169759626302913,0.00848798131514567,4,"K1"
"LUAL",0.0362768540507678,0.0170742852399274,0.00853714261996369,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0336181408817779,0.0266961847139929,0.0133480923569964,4,"L1"
"LUAL",0.0355129807874758,0.0173297017707668,0.00866485088538339,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0343820141450699,0.0266037349142333,0.0133018674571166,4,"M1"
"LUAL",0.0296943542502014,0.0249383482139323,0.0124691741069662,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0402006406823443,0.0177036931320137,0.00885184656600683,4,"N1"
"LUAL",0.037572823307225,0.0167288391134212,0.00836441955671061,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0323221716253206,0.0266588892943576,0.0133294446471788,4,"O1"
"LUAL",0.036808950043933,0.0170669648287424,0.0085334824143712,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0330860448886127,0.0266159481305,0.01330797406525,4,"P1"
"LUAL",0.0289370786334337,0.0247225199184081,0.0123612599592041,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0409579162991119,0.017360683031173,0.00868034151558648,4,"Q1"
"LUAL",0.0281732053701417,0.0245975456009826,0.0122987728004913,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0417217895624039,0.0167783986088971,0.00838919930444855,4,"R1"
"LUAL",0.0360516744271654,0.0171735347086618,0.00858676735433089,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0338433205053803,0.0266598665812331,0.0133299332906166,4,"S1"
"LUAL",0.0301801975680869,0.00678201027851049,0.00339100513925525,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0397147973644588,0.0300387850333342,0.0150193925166671,4,"U1"
"LUAL",0.0294163243047948,0.00650877480075025,0.00325438740037512,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0404786706277508,0.0297486500258714,0.0148743250129357,4,"V1"
"LUAL",0.0286590486880272,0.00557534525877942,0.00278767262938971,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0412359462445184,0.0295363045933152,0.0147681522966576,4,"Y1"
"LUAL",0.0299550179444844,0.00676267899487243,0.00338133949743621,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0399399769880612,0.0299454487353094,0.0149727243676547,4,"B2"
"LUAL",0.0323028321916038,0.0241934345083814,0.0120967172541907,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0375921627409418,0.0201235280239299,0.0100617640119649,4,"D2"
"LUAL",0.0401813012486275,0.0137278167393318,0.00686390836966592,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0297136936839182,0.02733916313094,0.01366958156547,4,"E2"
"LUAL",0.0394174279853355,0.0143245816796748,0.00716229083983742,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0304775669472102,0.0273944449599367,0.0136972224799683,4,"F2"
"LUAL",0.0315455565748362,0.0240805236121051,0.0120402618060526,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0383494383577094,0.0199548618028617,0.00997743090143085,4,"G2"
"LUAL",0.0307816833115442,0.0240628621197828,0.0120314310598914,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0391133116210014,0.0195865084082817,0.00979325420414085,4,"H2"
"LUAL",0.0386601523685678,0.0146325052833349,0.00731625264166746,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0312348425639778,0.02753294336884,0.01376647168442,4,"I2"
"LUAL",0.0328415258312934,0.0241773744491286,0.0120886872245643,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0370534691012522,0.0203115136286883,0.0101557568143442,4,"J2"
"LUAL",0.0320776525680014,0.0242143559606567,0.0121071779803283,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0378173423645442,0.0200158005415286,0.0100079002707643,4,"K2"
"LUAL",0.039956121625025,0.0139354429028381,0.00696772145141905,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0299388733075206,0.0273466010151178,0.0136733005075589,4,"L2"
"LUAL",0.0313203769512338,0.0240921076414859,0.012046053820743,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0385746179813118,0.0198347592034139,0.00991737960170697,4,"M2"
"LUAL",0.0254489000921553,0.0160441830555986,0.00802209152779932,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0444460948403903,0.0226035082031868,0.0113017541015934,4,"N2"
"LUAL",0.0246850268288633,0.0156251932744472,0.00781259663722361,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0452099681036824,0.0219985118616614,0.0109992559308307,4,"O2"
"LUAL",0.0325634958858869,0.00270586909056098,0.00135293454528049,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0373314990466587,0.0314078392802179,0.0157039196401089,4,"P2"
"LUAL",0.0252237204685529,0.0159471918823349,0.00797359594116745,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0446712744639928,0.0224160396148002,0.0112080198074001,4,"R2"
"SAAP",0.0254555650382395,0.0120928940522824,0.00604644702614119,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0231580430833367,0.00885057043371371,0.00442528521685685,4,"A"
"SAAP",0.0264717962287743,0.0120159512454901,0.00600797562274505,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0221418118928019,0.00843845331899479,0.0042192266594974,4,"B"
"SAAP",0.0223424757176167,0.0142597480313111,0.00712987401565553,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0262711324039596,0.00380260158682399,0.001901300793412,4,"C"
"SAAP",0.0274467928330128,0.0122625083898892,0.0061312541949446,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0211668152885634,0.00717137116127255,0.00358568558063627,4,"D"
"SAAP",0.0254725355402633,0.0120888079321551,0.00604440396607753,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0231410725813129,0.00885023529315389,0.00442511764657695,4,"E"
"SAAP",0.0215031482109464,0.00474674690155767,0.00237337345077883,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0271104599106298,0.0135866424294222,0.0067933212147111,4,"F"
"SAAP",0.0224781448151849,0.00643708580640271,0.00321854290320135,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0261354633063913,0.0133317801614897,0.00666589008074483,4,"H"
"SAAP",0.0205038875224354,0.00332383312797404,0.00166191656398702,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0281097205991408,0.013359494393911,0.00667974719695548,4,"I"
"SAAP",0.0234943760057197,0.00690287845138432,0.00345143922569216,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0251192321158565,0.0133671208250072,0.00668356041250362,4,"K"
"SAAP",0.0215201187129702,0.00475517214574126,0.00237758607287063,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.027093489408606,0.0135930050237029,0.00679650251185146,4,"L"
"SAAP",0.0224951153172087,0.00643987628107788,0.00321993814053894,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0261184928043675,0.0133366102211971,0.00666830511059854,4,"O"
"SAAP",0.0275836061892835,0.0112507969835046,0.0056253984917523,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0210300019322927,0.00853675405029098,0.00426837702514549,4,"P"
"SAAP",0.0234542856781258,0.0140634448652654,0.00703172243263271,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0251593224434504,0.00532645973027687,0.00266322986513844,4,"Q"
"SAAP",0.028558602793522,0.011387526711831,0.00569376335591549,4,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,0.0200550053280543,0.00708565761249843,0.00354282880624921,4,"R"
