"species","Sample","treat","metric","herb","omni","pred","total","pred_herb","sample_g","plant_g","vaccum","vac_sec","vac_min","flower","diameter","height","complexity","herb_mg"
"ENCA","ENCA9","T","mg",28.3009590244079,0.0682,7.15770678491957,35.5268658093275,0.252305920621803,NA,791.64,"4:44",284,4.73333333333333,"Y",1.3,0.81,10,0.0358359342938809
"ERFA","ERFA1","C","abun",26,2,2,30,0.0714285714285714,23.456,564.59,"3:26",206,3.43333333333333,"Y",1.43,0.9,14,0.0495935103349333
"ERFA","ERFA1","C","mg",7.64614364567967,7.02701496255823,5.10620436799116,19.7793629762291,0.347996263403328,23.456,564.59,"3:26",206,3.43333333333333,"Y",1.43,0.9,14,0.0259890515387058
"ERFA","ERFA10","T","abun",23,1,9,33,0.375,4.186,477.73,"2:43",163,2.71666666666667,"Y",1.31,0.65,21,0.0502375818977247
"ERFA","ERFA10","T","mg",9.48182703727689,0.653516130647452,14.6913782110078,24.8267213789322,1.44951956412311,4.186,477.73,"2:43",163,2.71666666666667,"Y",1.31,0.65,21,0.0212156305191726
"ERFA","ERFA11","T","abun",17,10,4,31,0.148148148148148,18.28,651.45,"2:51",171,2.85,"Y",1.14,0.71,20,0.0414460050656228
"ERFA","ERFA11","T","mg",4.82225119643011,0.341,5.24182702713549,10.4050782235656,1.01521828547867,18.28,651.45,"2:51",171,2.85,"Y",1.14,0.71,20,0.0079257827867528
"ERFA","ERFA12","T","abun",26,2,6,34,0.214285714285714,10.856,651.45,"2:44",164,2.73333333333333,"Y",1.2,0.8,14,0.0429810422902755
"ERFA","ERFA12","T","mg",7.19926910486467,0.321158637940789,3.43333604694405,10.9537637897495,0.456534676532011,10.856,651.45,"2:44",164,2.73333333333333,"Y",1.2,0.8,14,0.0115441365305172
"ERFA","ERFA13","T","abun",15,0,5,20,0.333333333333333,5.252,304.01,"2:13",133,2.21666666666667,"Y",1.09,0.77,14,0.0493404822209796
"ERFA","ERFA13","T","mg",8.49811409931107,0,4.55365568785796,13.051769787169,0.535843086435745,5.252,304.01,"2:13",133,2.21666666666667,"Y",1.09,0.77,14,0.0279534031752609
"ERFA","ERFA2","T","abun",11,26,8,45,0.216216216216216,22.282,608.02,"3:38",218,3.63333333333333,"Y",1.27,0.85,16,0.0608532614058748
"ERFA","ERFA2","T","mg",3.06086967175918,4.52871363080634,12.206358721166,19.7959420237315,1.60830420255614,22.282,608.02,"3:38",218,3.63333333333333,"Y",1.27,0.85,16,0.0124824566668292
"ERFA","ERFA3","T","abun",14,3,0,17,0,20.992,477.73,"2:30",150,2.5,"Y",1.19,0.55,24,0.0355849538442216
"ERFA","ERFA3","T","mg",1.60892331361225,0.974674768588241,0,2.58359808220049,0,20.992,477.73,"2:30",150,2.5,"Y",1.19,0.55,24,0.00540807167688965
"ERFA","ERFA4","C","abun",19,3,6,28,0.272727272727273,17.533,434.3,"2:00",120,2,"Y",1.24,0.57,25,0.050656228413539
"ERFA","ERFA4","C","mg",5.75564222406498,0.236923222685379,1.81947934965931,7.81204479640966,0.303622774891173,17.533,434.3,"2:00",120,2,"Y",1.24,0.57,25,0.013798216547894
"ERFA","ERFA5","C","abun",19,0,6,25,0.315789473684211,NA,608.02,NA,NA,NA,"Y",0.99,0.63,16,0.0312489720732871
"ERFA","ERFA5","C","mg",4.62574554677443,0,6.37184250290447,10.9975880496789,1.37747362851543,NA,608.02,NA,NA,NA,"Y",0.99,0.63,16,0.00760788386364664
"ERFA","ERFA6","T","abun",20,5,3,28,0.12,NA,477.73,NA,NA,NA,"Y",1.3,0.71,18,0.0523308144767965
