"species","sample","treat","plant_g","comp","arth_mg","arth_abun","herb_mg","herb_abun","herb_mg_dens","herb_abun_dens","pred_herb","T_group"
"LUAL","LUAL13","T",631.9,10,22.9812284096708,36,22.8355324629924,35,0.0361378896391714,0.0553885108403228,0.0285714285714286,"DD"
"LUAL","LUAL2","C",379.14,12,14.4699793202973,25,6.25049623518524,22,0.0164859846895217,0.0580260589755763,0.136363636363636,"ID_C"
"LUAL","LUAL3","C",379.14,5,6.52480454147973,15,5.74724842898773,13,0.015158644376715,0.0342881257582951,0.153846153846154,"ID_C"
"LUAL","LUAL4","T",505.52,7,4.8531359829341,16,0.806259380414109,14,0.00159491094400639,0.0276942554201614,0.142857142857143,"ID_T"
"LUAL","LUAL5","C",315.95,5,3.19880984445269,16,2.76167047185801,15,0.0087408465638804,0.0474758664345624,0.0666666666666667,"ID_C"
"LUAL","LUAL6","T",379.14,3,18.0748569066477,23,12.5528655684303,19,0.0331087871721009,0.0501134145698159,0.210526315789474,"ID_T"
"LUAL","LUAL7","T",631.9,4,34.8823685353849,39,18.9906765537536,29,0.0300532941189328,0.0458933375534104,0.344827586206897,"DD"
"LUAL","LUAL8","C",568.71,9,8.0250920222177,9,8.0250920222177,9,0.0141110443322919,0.0158252888115208,0,"ID_C"
"LUAL","LUAL9","C",821.47,5,10.9788566207137,28,10.368279831052,27,0.0126216171388511,0.0328679075316201,0.037037037037037,"ID_C"
"SAAP","SAAP1","T",1433.7,12,47.674204117129,37,23.8779855754772,31,0.0166547991738001,0.0216223756713399,0.193548387096774,"ID_T"
"SAAP","SAAP10","T",1529.28,13,33.6402441156471,73,28.7496428907105,69,0.018799463074591,0.0451192718141871,0.0579710144927536,"ID_T"
"SAAP","SAAP11","T",1146.96,10,49.8118738621084,46,49.4584004993668,45,0.0431212949879393,0.0392341494036409,0.0222222222222222,"DD"
"SAAP","SAAP12","C",860.22,8,10.4566038345282,21,9.94390141292523,20,0.0115597189241418,0.0232498663132687,0.05,"ID_C"
"SAAP","SAAP15","T",764.64,8,40.9058952658257,38,17.7753589181702,26,0.0232467029166276,0.0340029294831555,0.461538461538462,"ID_T"
"SAAP","SAAP2","C",764.64,7,16.9438652877483,38,14.617779135258,35,0.0191172043514045,0.0457731743042478,0.0857142857142857,"ID_C"
"SAAP","SAAP3","T",1146.96,14,64.3143305807237,52,31.3253444824384,37,0.0273116276787669,0.0322591895096603,0.405405405405405,"ID_T"
"SAAP","SAAP4","C",1624.86,13,20.2129359360913,37,15.7437155238912,34,0.00968927509071011,0.0209248796819418,0.0882352941176471,"ID_C"
"SAAP","SAAP5","T",716.85,17,7.73792666783051,19,7.73792666783051,19,0.0107943456341362,0.0265048475971263,0,"DD"
"SAAP","SAAP6","C",1146.96,9,14.4242764293367,31,12.8605873087857,28,0.0112127600864771,0.0244123596289321,0.107142857142857,"ID_C"
"SAAP","SAAP7","T",860.22,11,36.8096697625107,33,26.848854677421,27,0.0312116140957209,0.0313873195229127,0.222222222222222,"DD"
"SAAP","SAAP8","C",573.48,8,3.03656557819662,6,3.03656557819662,6,0.00529498078084087,0.0104624398409709,0,"ID_C"
"SAAP","SAAP9","T",955.8,6,23.6032895073197,22,22.2840802710502,21,0.0233145849247229,0.0219711236660389,0.0476190476190476,"DD"
"SAME","SAME1","T",376.5,5,12.9298011480074,12,10.5511009103097,10,0.0280241724045409,0.0265604249667995,0.2,"DD"
"SAME","SAME10","T",502,4,10.4188458242445,24,2.4035403429444,18,0.00478792897000876,0.0358565737051793,0.333333333333333,"ID_T"
"SAME","SAME11","C",753,8,7.38196920950325,13,5.93629327177234,11,0.00788352360129129,0.0146082337317397,0.181818181818182,"ID_C"
"SAME","SAME12","T",502,7,12.5263223880804,27,8.96106855132827,24,0.0178507341659926,0.047808764940239,0.125,"DD"
"SAME","SAME14","T",376.5,14,22.2161895563593,19,10.8698852720034,14,0.0288708772164766,0.0371845949535193,0.357142857142857,"DD"
"SAME","SAME2","C",627.5,6,4.30488536862673,10,4.30488536862673,10,0.00686037508944499,0.0159362549800797,0,"ID_C"
"SAME","SAME3","T",502,4,12.028565930133,17,5.16435116831617,13,0.0102875521281199,0.0258964143426295,0.307692307692308,"ID_T"
"SAME","SAME4","T",627.5,4,23.7282527483364,42,14.3767411470644,36,0.0229111412702221,0.0573705179282869,0.166666666666667,"ID_T"
"SAME","SAME5","T",313.75,5,9.59679324145713,24,7.42178700745805,22,0.0236550980317388,0.0701195219123506,0.0909090909090909,"DD"
"SAME","SAME6","C",439.25,4,14.3979319650322,16,14.3979319650322,16,0.0327784449972276,0.0364257256687536,0,"ID_C"
"SAME","SAME7","T",439.25,8,5.62868876769037,14,4.08513846190071,12,0.00930025830825431,0.0273192942515652,0.166666666666667,"ID_T"
"SAME","SAME8","C",NA,6,3.39164096763521,12,3.39164096763521,12,NA,NA,0,"ID_C"
"SAME","SAME9","C",439.25,6,5.64428323891836,9,5.64428323891836,9,0.012849819553599,0.0204894706886739,0,"ID_C"
