species,Sample,treat,pred_abun,pred_mg,herb_abun,herb_mg,omni_abun,omni_mg,total_abun,total_mg,sample_g,plant_g,vaccum,vac_sec,vac_min,flower,diameter,height,complexity
LUAL,LUAL2,C,3,8.219483085,18,6.303934243,6,2.210845234,27,16.73426256,1.458,379.14,2:11,131,2.183333333,N,0.83,0.72,12
LUAL,LUAL3,C,2,0.777556112,10,3.82941521,3,1.917833219,15,6.524804541,3.564,379.14,2:41,161,2.683333333,N,0.64,0.59,5
LUAL,LUAL4,T,2,4.046876603,13,0.97775938,1,0.0341,16,5.058735983,10.151,505.52,2:42,162,2.7,N,0.84,0.56,7
LUAL,LUAL5,C,1,0.437139373,13,2.507823445,2,0.253847027,16,3.198809844,9.867,315.95,2:35,155,2.583333333,N,0.58,0.6,5
LUAL,LUAL6,T,4,5.521991338,14,10.27115854,5,2.28170703,23,18.07485691,13.333,379.14,2:46,166,2.766666667,N,0.6,0.64,3
LUAL,LUAL7,T,10,15.89169198,27,13.07777101,2,5.912905541,39,34.88236854,NA,631.9,3:31,211,3.516666667,N,0.8,0.68,4
LUAL,LUAL8,C,0,0,9,8.050792022,0,0,9,8.050792022,13.862,568.71,3:04,184,3.066666667,N,0.85,0.78,9
LUAL,LUAL9,C,1,0.61057679,27,10.36827983,0,0,28,10.97885662,13.353,821.47,2:01,121,2.016666667,N,0.91,0.77,5
SAAP,SAAP1,T,6,23.79621854,31,23.87798558,0,0,37,47.67420412,NA,1433.7,2:47,167,2.783333333,Y,0.98,1.24,12
SAAP,SAAP10,T,4,4.890601225,69,28.74964289,0,0,73,33.64024412,NA,1529.28,2:45,165,2.75,N,1.21,0.67,13
SAAP,SAAP11,T,1,0.353473363,45,49.4584005,0,0,46,49.81187386,NA,1146.96,2:32,152,2.533333333,N,1.02,0.72,10
SAAP,SAAP12,C,1,0.512702422,20,9.943901413,0,0,21,10.45660383,1.286,860.22,2:20,140,2.333333333,N,0.85,0.9,8
SAAP,SAAP15,T,12,23.13053635,25,17.99639442,1,0.101411611,38,41.22834238,16.134,764.64,4:15,255,4.25,N,1.13,0,8
SAAP,SAAP2,C,3,2.326086152,35,15.8586675,0,0,38,18.18475365,NA,764.64,2:51,171,2.85,Y,1.07,0.65,7
SAAP,SAAP3,T,15,32.9889861,34,31.64238783,3,1.341132261,52,65.97250619,NA,1146.96,2:18,138,2.3,N,0.82,0.9,14
SAAP,SAAP4,C,3,4.469220412,34,15.74371552,0,0,37,20.21293594,NA,1624.86,4:31,271,4.516666667,Y,1.09,0.77,13
SAAP,SAAP5,T,0,0,10,7.778030768,9,1.977723239,19,9.755754007,NA,716.85,2:39,159,2.65,Y,1.01,1.42,17
SAAP,SAAP6,C,3,1.563689121,27,13.06209546,1,0.219747027,31,14.8455316,7.58,1146.96,2:34,154,2.566666667,N,1.04,0.78,9
SAAP,SAAP7,T,6,9.960815085,27,26.84885468,0,0,33,36.80966976,NA,860.22,2:40,160,2.666666667,N,1.11,0.54,11
SAAP,SAAP8,C,0,0,6,3.036565578,0,0,6,3.036565578,7.555,573.48,3:13,193,3.216666667,Y,0.91,0.78,8
SAAP,SAAP9,T,1,1.319209236,21,22.28408027,0,0,22,23.60328951,3.5,955.8,2:33,153,2.55,N,0.83,0.92,6
SAME,SAME1,T,2,2.378700238,10,10.55110091,0,0,12,12.92980115,NA,376.5,3:20,200,3.333333333,N,0.8,0.82,5
SAME,SAME10,T,6,8.015305481,15,1.769999263,3,0.65924108,24,10.44454582,7.119,502,3:41,221,3.683333333,Y,1.31,0.9,4
SAME,SAME11,C,2,1.445675938,8,5.277052192,3,0.65924108,13,7.38196921,8.657,753,4:03,243,4.05,Y,1.64,1.88,8
SAME,SAME12,T,3,3.565253837,17,7.93005443,7,1.031014122,27,12.52632239,10.121,502,4:29,269,4.483333333,N,0.85,0.74,7
SAME,SAME14,T,5,11.34630428,14,10.86988527,0,0,19,22.21618956,NA,376.5,3:01,181,3.016666667,N,0.67,1.32,14
SAME,SAME2,C,0,0,8,3.729402344,2,0.620076092,10,4.349478435,13.579,627.5,3:31,211,3.516666667,N,1.19,1.14,6
SAME,SAME3,T,4,6.864214762,12,4.963497208,1,0.219747027,17,12.047459,15.858,502,4:17,257,4.283333333,N,0.94,0.64,4
SAME,SAME4,T,6,9.351511601,25,8.458294137,11,5.96984701,42,23.77965275,NA,627.5,NA,NA,NA,Y,1.61,1.55,4
SAME,SAME5,T,2,2.175006234,21,7.161148713,1,0.219747027,24,9.555901974,15.351,313.75,3:09,189,3.15,N,0.74,0.78,5
SAME,SAME6,C,0,0,14,13.64300422,2,0.754927742,16,14.39793197,9.333,439.25,3:30,210,3.5,Y,0.94,1.55,4
SAME,SAME7,T,2,1.543550306,12,4.133234439,0,0,14,5.676784745,22.3,439.25,3:15,195,3.25,N,0.55,0.8,8
SAME,SAME8,C,0,0,12,3.448320167,0,0,12,3.448320167,NA,NA,NA,NA,NA,N,0.74,0.79,6
SAME,SAME9,C,0,0,9,5.640979216,0,0,9,5.640979216,5.949,439.25,3:58,238,3.966666667,N,1.17,1.7,6
