"species","iter","p","sum","n","observed"
"ERFA","V1",0.122,122,1000,0.00761264565586215
"ERFA","U1",0.711,711,1000,-0.00253496393528833
"ERFA","T1",0.119,119,1000,0.00746506073031314
"ERFA","S1",0.571,571,1000,-0.000820136864103243
"ERFA","R1",0.047,47,1000,0.00917988780149823
"ERFA","Q1",0.599,599,1000,-0.000967721789652248
"ERFA","P1",0.07,70,1000,0.00863775602065489
"ERFA","O1",0.635,635,1000,-0.00150985357049558
"ERFA","N1",0.098,98,1000,0.00849017109510589
"ERFA","M1",0.191,191,1000,0.00508674500989171
"ERFA","L1",0.814,814,1000,-0.00506086458125877
"ERFA","K1",0.205,205,1000,0.0049391600843427
"ERFA","J1",0.234,234,1000,0.00439702830349937
"ERFA","I1",0.788,788,1000,-0.00439702830349937
"ERFA","H1",0.804,804,1000,-0.0049391600843427
"ERFA","G1",0.19,190,1000,0.00506086458125877
"ERFA","F1",0.813,813,1000,-0.00508674500989171
"ERFA","E1",0.925,925,1000,-0.00849017109510589
"ERFA","D1",0.39,390,1000,0.00150985357049558
"ERFA","C1",0.939,939,1000,-0.00863775602065489
"ERFA","B1",0.406,406,1000,0.000967721789652248
"ERFA","A1",0.967,967,1000,-0.00917988780149823
"ERFA","Z",0.444,444,1000,0.000820136864103243
"ERFA","Y",0.896,896,1000,-0.00746506073031314
"ERFA","X",0.319,319,1000,0.00253496393528833
"ERFA","W",0.901,901,1000,-0.00761264565586215
"ERFA","V",0.34,340,1000,0.001992832154445
"ERFA","U",0.922,922,1000,-0.00815477743670548
"ERFA","T",0.329,329,1000,0.00184524722889599
"ERFA","S",0.648,648,1000,-0.00155817885631819
"ERFA","R",1,1000,1000,-0.0117057884474687
"ERFA","Q",0.65,650,1000,-0.0017057637818672
"ERFA","P",0.671,671,1000,-0.00224789556271053
"ERFA","O",0.849,849,1000,-0.00565588385843094
"ERFA","N",0.251,251,1000,0.00434414080717053
"ERFA","M",0.86,860,1000,-0.00580346878397995
"ERFA","L",0.23,230,1000,0.0038020090263272
"ERFA","K",0.884,884,1000,-0.00634560056482328
"ERFA","J",0.268,268,1000,0.00365442410077819
"ERFA","I",0.494,494,1000,0.000250998015564007
"ERFA","H",0.989,989,1000,-0.00989661157558647
"ERFA","G",0.503,503,1000,0.000103413090015003
"ERFA","F",0.573,573,1000,-0.000438718690828333
"ERFA","E",0.434,434,1000,0.00127610838035676
"ERFA","D",0.96,960,1000,-0.00887150121079372
"ERFA","C",0.399,399,1000,0.00112852345480775
"ERFA","B",0.484,484,1000,0.000586391673964418
"ERFA","A",0.733,733,1000,-0.00296461933679877
"ENCA","I1",0.511,511,1000,-0.00155522177110404
"ENCA","H1",0.39,390,1000,0.00318387882707663
"ENCA","G1",0.616,616,1000,-0.00329253505824371
"ENCA","F1",0.127,127,1000,0.0112906261704888
"ENCA","E1",0.09,90,1000,0.0126001440438127
"ENCA","D1",0.488,488,1000,-0.00100016512524652
"ENCA","C1",0.825,825,1000,-0.00747657901056686
"ENCA","B1",0.265,265,1000,0.00710658221816568
"ENCA","A1",0.239,239,1000,0.0084161000914896
"ENCA","Z",0.56,560,1000,-0.00273747841238619
