Appendix S4. List of the species of PhytoPhylo (a megaphylogeny of plants in the world),,
Acacia pentadenia,Lindl.,ild-31584
Acacia permixta,Burtt Davy,ild-551
Acacia phlebophylla,H.B.Will.,ild-49369
Acacia picachensis,Brandegee,ild-11167
Acacia pickardii,Tindale,ild-47842
Acacia platycarpa,F.Muell.,ild-48834
Acacia podalyriifolia,G.Don,ild-555
Acacia polyacantha,Willd.,ild-556
Acacia polybotrya,Benth.,ild-31530
Acacia praelongata,F.Muell.,ild-47818
Acacia prominens,G.Don,ild-31496
Acacia pubescens,(Vent.) R.Br.,ild-47426
Acacia pulchella,R.Br.,ild-31528
Acacia pyrifolia,DC.,ild-31561
Acacia ramulosa,W.Fitzg.,ild-49247
Acacia reficiens,Wawra,ild-570
Acacia rehmanniana,Schinz,ild-576
Acacia retivenea,F.Muell.,ild-48825
Acacia rhigiophylla,Benth.,ild-49451
Acacia rhodophloia,Maslin,ild-49207
Acacia riceana,Hensl.,ild-47752
Acacia rigens,G.Don,ild-31533
Acacia roemeriana,Scheele,ild-29566
Acacia rossei,F.Muell.,ild-48058
Acacia ryaniana,Maslin,ild-47840
Acacia saligna,(Labill.) Wendl.,ild-591
Acacia schaffneri,(S.Watson) F.J.Herm.,ild-11182
Acacia schottii,Torr.,ild-11183
Acacia schweinfurthii,Brenan & Exell,ild-595
Acacia sclerophylla,Lindl.,ild-48494
Acacia sekhukhuniensis,P.J.H.Hurter,kew-2613773
Acacia senegal,(L.) Willd.,ild-596
Acacia seyal,Delile,ild-609
Acacia siculiformis,Benth.,ild-48108
Acacia silvestris,Tindale,ild-31547
Acacia spectabilis,Benth.,ild-47411
Acacia spinescens,Benth.,ild-48129
Acacia stipuligera,F.Muell.,ild-48987
Acacia storyi,Tindale,ild-47449
Acacia strongylophylla,F.Muell.,ild-47844
Acacia stuhlmannii,Taub.,ild-623
Acacia suaveolens,(Sm.) Willd.,ild-31535
Acacia subrigida,Maslin,ild-47824
Acacia swazica,Burtt Davy,ild-624
Acacia synchronicia,Maslin,ild-47838
Acacia tenuifolia,(L.) Willd.,ild-28284
Acacia terminalis,(Salisb.) J.F.Macbr.,ild-33357
Acacia tetragonophylla,F.Muell.,ild-47869
Acacia tortilis,(Forssk.) Hayne,ild-632
Acacia tortuosa,(L.) Willd.,ild-41403
Acacia trachyphloia,Tindale,ild-31546
Acacia translucens,Hook.,ild-49058
Acacia triptera,Benth.,ild-49452
Acacia tumida,Benth.,ild-31540
Acacia verticillata,(L'Her.) Willd.,ild-19919
Acacia victoriae,Benth.,ild-31544
Acacia wanyu,Tindale,ild-49225
Acacia willardiana,Rose,ild-31797
Acacia wrightii,A.Gray,ild-10645
Acacia xanthophloea,Benth.,ild-653
Acaciella glauca,(L.) L. Rico,tro-50319064
Acaena anserinifolia,(J.R.Forst. & G.Forst.) J.B.Armstr.,rjp-56114
Acaena argentea,Ruiz & Pav.,rjp-11933
Acaena echinata,Nees,rjp-11978
Acaena fissistipula,Bitter,rjp-12407
Acaena inermis,Hook.f.,rjp-548
Acaena lucida,(Aiton) Vahl,rjp-56113
Acaena magellanica,(Lam.) Vahl,rjp-12128
Acaena montana,Hook.f.,rjp-12567
Acaena ovalifolia,Ruiz & Pav.,rjp-978
Acaena pinnatifida,Ruiz & Pav.,rjp-3737
Acalypha australis,L.,kew-214
Acalypha californica,Benth.,kew-285
Acalypha diversifolia,Jacq.,kew-487
Acalypha insulana,Müll.Arg.,kew-725
Acalypha macrostachya,Jacq.,kew-838
Acalypha platyphylla,Müll.Arg.,kew-1036
Acalypha virginica,L.,kew-1359
Acalypha wilkesiana,Müll.Arg.,kew-1384
Acampe ochracea,(Lindl.) Hochr.,kew-1421
Acampe praemorsa,(Roxb.) Blatt. & McCann,kew-1426
Acampe rigida,(Buch.-Ham. ex Sm.) P.F.Hunt,kew-1428
Acamptopappus shockleyi,A.Gray,gcc-108895
Acamptopappus sphaerocephalus,(Harv. & A.Gray) A.Gray,gcc-88276
Acanthephippium mantinianum,L.Linden & Cogn.,kew-1444
Acanthocalyx alba,(Hand.-Mazz.) M.J.Cannon,kew-2614489
Acanthocarpus preissii,Lehm.,kew-293452
Acanthocereus tetragonus,(L.) Hummelinck,kew-2614516
Acanthocladium dockeri,F.Muell.,gcc-111124
Acanthocladus albicans,A.W.Benn.,kew-2614523
Acanthogilia gloriosa,(Bandegee) A.Day & R.C.Moran,kew-2614557
Acantholippia deserticola,(Phil.) Moldenke,kew-1470
Acantholippia seriphioides,(A.Gray) Moldenke,kew-1475
