"","Sample","ACAR","ANT","ARAN","ARCH","AUCH","BEE","COCC","COLE","DERM","DIPT","HETE","HYME","ISOP","LEPI","MIRID","NEUR","ORTH","PSCO","PSOC","STER","THYS","WASP","totalarth","species","treat","arth_abun","WT_multiplier","WT_sample","WT_plant"
"62","ISME8",NA,2,3,NA,5,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"ISME","T",24,14,97.44,1364.16
"63","ISME9",NA,NA,1,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"ISME","C",15,11,97.44,1071.84
"64","LUAL10",1,NA,1,NA,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,9,"LUAL","T",15,8,63.19,505.52
"65","LUAL11",NA,1,5,NA,7,NA,2,21,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,41,"LUAL","T",42,8,63.19,505.52
"66","LUAL12",4,NA,2,NA,33,NA,1,5,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,1,51,"LUAL","T",41,12,63.19,758.28
"67","LUAL13",1,NA,NA,NA,31,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,36,"LUAL","T",38,10,63.19,631.9
"68","LUAL14",NA,NA,3,NA,1,NA,NA,28,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA
"69","LUAL2",NA,1,3,NA,10,NA,NA,4,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,2,NA,2,29,"LUAL","C",33,8,63.19,505.52
"70","LUAL3",NA,NA,2,NA,5,NA,NA,4,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"LUAL","C",20,6,63.19,379.14
"71","LUAL4",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"LUAL","T",6,8,63.19,505.52
"72","LUAL6.2",NA,1,4,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
"73","SAAP1",NA,1,2,NA,11,2,1,11,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,5,NA,NA,37,"SAAP","T",34,15,95.58,1433.7
"74","SAAP10",NA,1,NA,NA,56,NA,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"SAAP","T",70,16,95.58,1529.28
"75","SAAP11",NA,1,NA,NA,33,NA,NA,17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,52,"SAAP","T",48,12,95.58,1146.96
"76","SAAP12",NA,NA,1,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,18,"SAAP","C",16,9,95.58,860.22
"77","SAAP15",1,6,4,1,10,NA,NA,13,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,38,"SAAP","T",37,8,95.58,764.64
"78","SAAP2",NA,NA,3,2,28,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35,"SAAP","C",32,8,95.58,764.64
"79","SAAP3",NA,14,1,2,13,NA,NA,12,NA,4,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,51,"SAAP","T",46,12,95.58,1146.96
