"Sample","sp","Order","value","feed","ID","size"
"LUAL2","LUAL","HEMI",2,"herb","20","S"
"SAAP15","SAAP","HEMI",1,"herb","20","S"
"SAME12","SAME","HEMI",1,"herb","20","S"
"ARDO11","ARDO","HYME",1,"pred","22","L"
"ARDO6","ARDO","HYME",2,"pred","22","S"
"ENCA4","ENCA","HYME",1,"pred","22","L"
"ERFA13","ERFA","HYME",1,"pred","22","S"
"ERPA11","ERPA","HYME",2,"pred","22","S"
"ERPA12","ERPA","HYME",6,"pred","22","S"
"ERPA3","ERPA","HYME",2,"pred","22","S"
"ERPA4","ERPA","HYME",5,"pred","22","S"
"ERPA7","ERPA","HYME",5,"pred","22","S"
"ERPA8","ERPA","HYME",7,"pred","22","S"
"LUAL11","LUAL","HYME",1,"pred","22","L"
"LUAL12","LUAL","HYME",1,"pred","22","S"
"LUAL2","LUAL","HYME",2,"pred","22","S"
"SAME11","SAME","HYME",1,"pred","22","S"
"SAME7","SAME","HYME",1,"pred","22","S"
"SAAP15","SAAP","HYME",1,"pred","12","S"
"ARCA14","ARCA","ACAR",1,"pred","1","S"
"ARDO7","ARDO","ACAR",1,"pred","1","S"
"ENCA4","ENCA","ACAR",2,"pred","1","S"
"ERFA10","ERFA","ACAR",1,"pred","1","S"
"ERFA10","ERFA","ACAR",1,"pred","1","S"
"ERFA12","ERFA","ACAR",4,"pred","1","S"
"ERFA4","ERFA","ACAR",3,"pred","1","S"
"ERPA11","ERPA","ACAR",1,"pred","1","S"
"LUAL10","LUAL","ACAR",1,"pred","1","S"
"LUAL12","LUAL","ACAR",4,"pred","1","S"
"LUAL13","LUAL","ACAR",1,"pred","1","S"
"SAAP15","SAAP","ACAR",1,"pred","1","S"
"SAAP6","SAAP","ACAR",1,"pred","1","S"
"SAAP7","SAAP","ACAR",3,"pred","1","S"
"SAME10","SAME","ACAR",1,"pred","1","S"
"ARCA11","ARCA","ARAN",4,"pred","3","L"
"ARCA14","ARCA","ARAN",4,"pred","3","L"
"ARCA4","ARCA","ARAN",2,"pred","3","L"
"ARCA4","ARCA","ARAN",1,"pred","3","S"
"ARCA6","ARCA","ARAN",3,"pred","3","L"
"ARCA7","ARCA","ARAN",1,"pred","3","L"
"ARCAC2","ARCA","ARAN",1,"pred","3","L"
"ARDO1","ARDO","ARAN",1,"pred","3","L"
"ARDO1","ARDO","ARAN",2,"pred","3","S"
"ARDO10","ARDO","ARAN",1,"pred","3","S"
"ARDO11","ARDO","ARAN",1,"pred","3","L"
"ARDO11","ARDO","ARAN",1,"pred","3","S"
"ARDO3","ARDO","ARAN",1,"pred","3","L"
"ARDO3","ARDO","ARAN",3,"pred","3","S"
"ARDO8","ARDO","ARAN",1,"pred","3","S"
"ENCA12","ENCA","ARAN",1,"pred","3","L"
"ENCA5","ENCA","ARAN",1,"pred","3","L"
"ENCA5","ENCA","ARAN",3,"pred","3","S"
"ENCA6","ENCA","ARAN",1,"pred","3","L"
"ENCA8","ENCA","ARAN",3,"pred","3","L"
"ENCA9","ENCA","ARAN",1,"pred","3","L"
"ENCA9","ENCA","ARAN",1,"pred","3","S"
"ENCAx","ENCA","ARAN",1,"pred","3","L"
"ENCAX","ENCA","ARAN",3,"pred","3","S"
"ERFA10","ERFA","ARAN",2,"pred","3","L"
"ERFA10","ERFA","ARAN",2,"pred","3","S"
"ERFA11","ERFA","ARAN",1,"pred","3","L"
"ERFA11","ERFA","ARAN",1,"pred","3","S"
"ERFA12","ERFA","ARAN",2,"pred","3","L"
"ERFA13","ERFA","ARAN",2,"pred","3","S"
"ERFA2","ERFA","ARAN",2,"pred","3","L"
"ERFA2","ERFA","ARAN",2,"pred","3","S"
"ERFA4","ERFA","ARAN",1,"pred","3","L"
"ERFA4","ERFA","ARAN",1,"pred","3","S"
"ERFA6","ERFA","ARAN",4,"pred","3","L"
"ERFA7","ERFA","ARAN",4,"pred","3","S"
"ERFA9","ERFA","ARAN",2,"pred","3","L"
"ERFA9","ERFA","ARAN",4,"pred","3","S"
"ERPA11","ERPA","ARAN",2,"pred","3","S"
"ERPA3","ERPA","ARAN",1,"pred","3","L"
"ERPA3.1","ERPA","ARAN",3,"pred","3","L"
"ERPA4","ERPA","ARAN",2,"pred","3","L"
"ERPA4","ERPA","ARAN",1,"pred","3","S"
"ERPA7","ERPA","ARAN",4,"pred","3","S"
"ERPA8","ERPA","ARAN",1,"pred","3","S"
"ISME1","ISME","ARAN",1,"pred","3","L"
"ISME4","ISME","ARAN",1,"pred","3","S"
"ISME8","ISME","ARAN",3,"pred","3","S"
"ISME9","ISME","ARAN",1,"pred","3","L"
"LUAL10","LUAL","ARAN",1,"pred","3","S"
"LUAL11","LUAL","ARAN",5,"pred","3","S"
"LUAL12","LUAL","ARAN",2,"pred","3","L"
"LUAL14","LUAL","ARAN",3,"pred","3","S"
"LUAL2","LUAL","ARAN",2,"pred","3","L"
"LUAL2","LUAL","ARAN",1,"pred","3","S"
"LUAL3","LUAL","ARAN",2,"pred","3","S"
"LUAL6.2","LUAL","ARAN",2,"pred","3","L"
"LUAL6.2","LUAL","ARAN",2,"pred","3","S"
"SAAP1","SAAP","ARAN",2,"pred","3","L"
"SAAP12","SAAP","ARAN",1,"pred","3","L"
"SAAP15","SAAP","ARAN",2,"pred","3","L"
"SAAP15","SAAP","ARAN",2,"pred","3","S"
"SAAP2","SAAP","ARAN",1,"pred","3","L"
"SAAP2","SAAP","ARAN",2,"pred","3","S"
"SAAP3","SAAP","ARAN",1,"pred","3","L"
"SAAP7","SAAP","ARAN",2,"pred","3","L"
"SAME10","SAME","ARAN",3,"pred","3","S"
"SAME11","SAME","ARAN",1,"pred","3","L"
"SAME12","SAME","ARAN",1,"pred","3","S"
"SAME3","SAME","ARAN",1,"pred","3","L"
"SAME3","SAME","ARAN",3,"pred","3","S"
"SAME4","SAME","ARAN",1,"pred","3","S"
"SAME5","SAME","ARAN",1,"pred","3","S"
"ENCA6","ENCA","ARCH",1,"herb","4","L"
"SAAP15","SAAP","ARCH",1,"herb","4","L"
"SAAP2","SAAP","ARCH",2,"herb","4","L"
"SAAP3","SAAP","ARCH",2,"herb","4","L"
"SAAP5","SAAP","ARCH",3,"herb","4","L"
"SAAP6","SAAP","ARCH",1,"herb","4","L"
"ARCA5","ARCA","COLE",2,"herb","8","L"
"ARCA5","ARCA","COLE",1,"herb","8","S"
"ARCA6","ARCA","COLE",1,"herb","8","S"
"ARCA7","ARCA","COLE",1,"herb","8","L"
"ARDO1","ARDO","COLE",5,"herb","8","L"
"ARDO1","ARDO","COLE",4,"herb","8","S"
"ARDO10","ARDO","COLE",1,"herb","8","L"
"ARDO11","ARDO","COLE",1,"herb","8","L"
"ARDO11","ARDO","COLE",4,"herb","8","S"
"ARDO13","ARDO","COLE",7,"herb","8","L"
"ARDO3","ARDO","COLE",10,"herb","8","L"
"ARDO6","ARDO","COLE",1,"herb","8","L"
"ARDO8","ARDO","COLE",3,"herb","8","L"
"ARDO8","ARDO","COLE",3,"herb","8","S"
"ENCA10","ENCA","COLE",4,"herb","8","S"
"ENCA11","ENCA","COLE",16,"herb","8","S"
"ENCA3","ENCA","COLE",4,"herb","8","L"
"ENCA3","ENCA","COLE",1,"herb","8","S"
"ENCA4","ENCA","COLE",4,"herb","8","L"
"ENCA4","ENCA","COLE",9,"herb","8","S"
"ENCA5","ENCA","COLE",1,"herb","8","L"
"ENCA5","ENCA","COLE",9,"herb","8","S"
