"species","Sample","treat","Order","feed","abundance","S","L","bm_name","a","b","S_bm","L_bm","total_bm"
"ERFA","ERFA11","T","HYME","pred",1,0,1,"HYME",0.1636,1.9,0,2.27875315448393,2.27875315448393
"ERFA","ERFA12","T","HYME","pred",2,0,2,"HYME",0.1636,1.9,0,4.55750630896787,4.55750630896787
"ERFA","ERFA13","T","HYME","pred",3,3,0,"HYME",0.1636,1.9,0.4908,0,0.4908
"ERFA","ERFA2","T","HYME","pred",6,6,0,"HYME",0.1636,1.9,0.9816,0,0.9816
"ERFA","ERFA6","T","HYME","pred",2,0,2,"HYME",0.1636,1.9,0,4.55750630896787,4.55750630896787
"ERFA","ERFA8","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"ERFA","ERFA6","T","ISOP","herb",1,0,1,"ISOP",0.0101,2.844,0,0.520690901733912,0.520690901733912
"ERFA","ERFA6","T","LEPI","herb",1,0,1,"LEPI",0.011,2.571,0,0.38840867649477,0.38840867649477
"ERFA","ERFA10","T","MIRID","omni",10,9,1,"HETE",0.0341,2.688,0.3069,1.41609254248404,1.72299254248404
"ERFA","ERFA11","T","MIRID","omni",15,7,8,"HETE",0.0341,2.688,0.2387,11.3287403398723,11.5674403398723
"ERFA","ERFA13","T","MIRID","omni",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"ERFA","ERFA2","T","MIRID","omni",32,27,5,"HETE",0.0341,2.688,0.9207,7.08046271242018,8.00116271242018
"ERFA","ERFA3","T","MIRID","omni",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"ERFA","ERFA11","T","NEUR","pred",1,1,0,"NEUR",0.0814,1.53,0.0814,0,0.0814
"ERFA","ERFA11","T","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"ERFA","ERFA8","T","PSOC","herb",9,2,7,"PSOC",0.0425,1.637,0.085,2.8777905084834,2.9627905084834
"ERFA","ERFA12","T","STER","herb",1,1,0,"STER",0.0598,1.724,0.0598,0,0.0598
"ERFA","ERFA13","T","STER","herb",5,4,1,"STER",0.0598,1.724,0.2392,0.652608324206283,0.891808324206283
"ERFA","ERFA6","T","STER","herb",6,5,1,"STER",0.0598,1.724,0.299,0.652608324206283,0.951608324206283
"ERFA","ERFA8","T","STER","herb",13,10,3,"STER",0.0598,1.724,0.598,1.95782497261885,2.55582497261885
"ERFA","ERFA10","T","THYS","herb",6,2,4,"THYS",0.0071,2.537,0.0142,0.956631193399938,0.970831193399938
"ERFA","ERFA11","T","THYS","herb",1,1,0,"THYS",0.0071,2.537,0.0071,0,0.0071
"ERFA","ERFA13","T","THYS","herb",8,3,5,"THYS",0.0071,2.537,0.0213,1.19578899174992,1.21708899174992
"ERFA","ERFA6","T","THYS","herb",3,3,0,"THYS",0.0071,2.537,0.0213,0,0.0213
"ERFA","ERFA8","T","THYS","herb",1,1,0,"THYS",0.0071,2.537,0.0071,0,0.0071
"ERPA","ERPA4","C","ARAN","pred",3,1,2,"ARAN",0.1044,2.296,0.1044,5.03570446585264,5.14010446585264
"ERPA","ERPA8","C","ARAN","pred",1,1,0,"ARAN",0.1044,2.296,0.1044,0,0.1044
"ERPA","ERPA10","C","AUCH","herb",10,10,0,"AUCH",0.0548,2.354,0.548,0,0.548
"ERPA","ERPA2","C","AUCH","herb",5,5,0,"AUCH",0.0548,2.354,0.274,0,0.274
"ERPA","ERPA4","C","AUCH","herb",9,6,3,"AUCH",0.0548,2.354,0.3288,4.29685830843161,4.62565830843161
"ERPA","ERPA6","C","AUCH","herb",8,8,0,"AUCH",0.0548,2.354,0.4384,0,0.4384
"ERPA","ERPA8","C","AUCH","herb",7,7,0,"AUCH",0.0548,2.354,0.3836,0,0.3836
"ERPA","ERPA4","C","COCC","pred",2,2,0,"COLE",0.041,2.64,0.082,0,0.082
"ERPA","ERPA6","C","COCC","pred",4,4,0,"COLE",0.041,2.64,0.164,0,0.164
"ERPA","ERPA4","C","COLE","herb",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"ERPA","ERPA8","C","COLE","herb",14,7,7,"COLE",0.041,2.64,0.287,11.1511658182841,11.4381658182841
"ERPA","ERPA8","C","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"ERPA","ERPA10","C","HETE","pred",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"ERPA","ERPA10","C","HYME","pred",7,7,0,"HYME",0.1636,1.9,1.1452,0,1.1452
"ERPA","ERPA4","C","HYME","pred",2,2,0,"HYME",0.1636,1.9,0.3272,0,0.3272
"ERPA","ERPA8","C","HYME","pred",4,3,1,"HYME",0.1636,1.9,0.4908,2.27875315448393,2.76955315448393
"ERPA","ERPA2","C","ISOP","herb",1,1,0,"ISOP",0.0101,2.844,0.0101,0,0.0101
"ERPA","ERPA4","C","ORTH","herb",2,0,2,"ORTH",0.0255,2.637,0,1.97334206296005,1.97334206296005
"ERPA","ERPA8","C","THYS","herb",2,2,0,"THYS",0.0071,2.537,0.0142,0,0.0142
"ERPA","ERPA11","T","ACAR","pred",1,1,0,"ACAR",0.053,2.494,0.053,0,0.053
"ERPA","ERPA11","T","ARAN","pred",2,2,0,"ARAN",0.1044,2.296,0.2088,0,0.2088
"ERPA","ERPA3","T","ARAN","pred",1,0,1,"ARAN",0.1044,2.296,0,2.51785223292632,2.51785223292632
"ERPA","ERPA7","T","ARAN","pred",4,2,2,"ARAN",0.1044,2.296,0.2088,5.03570446585264,5.24450446585264
"ERPA","ERPA13","T","ARAN","pred",1,1,0,"ARAN",0.1044,2.296,0.1044,0,0.1044
"ERPA","ERPA5","T","ARAN","pred",3,2,1,"ARAN",0.1044,2.296,0.2088,2.51785223292632,2.72665223292632
"ERPA","ERPA1","T","AUCH","herb",1,1,0,"AUCH",0.0548,2.354,0.0548,0,0.0548
"ERPA","ERPA11","T","AUCH","herb",1,1,0,"AUCH",0.0548,2.354,0.0548,0,0.0548
"ERPA","ERPA12","T","AUCH","herb",1,1,0,"AUCH",0.0548,2.354,0.0548,0,0.0548
"ERPA","ERPA13","T","AUCH","herb",7,7,0,"AUCH",0.0548,2.354,0.3836,0,0.3836
"ERPA","ERPA3","T","AUCH","herb",3,3,0,"AUCH",0.0548,2.354,0.1644,0,0.1644
"ERPA","ERPA5","T","AUCH","herb",7,7,0,"AUCH",0.0548,2.354,0.3836,0,0.3836
"ERPA","ERPA7","T","AUCH","herb",1,1,0,"AUCH",0.0548,2.354,0.0548,0,0.0548
"ERPA","ERPA3","T","COCC","pred",1,1,0,"COLE",0.041,2.64,0.041,0,0.041
"ERPA","ERPA1","T","COLE","herb",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"ERPA","ERPA12","T","COLE","herb",3,3,0,"COLE",0.041,2.64,0.123,0,0.123
"ERPA","ERPA3","T","COLE","herb",8,1,7,"COLE",0.041,2.64,0.041,11.1511658182841,11.1921658182841
"ERPA","ERPA7","T","COLE","herb",1,1,0,"COLE",0.041,2.64,0.041,0,0.041
"ERPA","ERPA13","T","COLE","herb",9,8,1,"COLE",0.041,2.64,0.328,1.5930236883263,1.9210236883263
"ERPA","ERPA5","T","COLE","herb",1,1,0,"COLE",0.041,2.64,0.041,0,0.041
"ERPA","ERPA9","T","COLE","herb",3,3,0,"COLE",0.041,2.64,0.123,0,0.123
"ERPA","ERPA3","T","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"ERPA","ERPA12","T","HETE","pred",2,2,0,"HETE",0.0341,2.688,0.0682,0,0.0682
"ERPA","ERPA1","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"ERPA","ERPA11","T","HYME","pred",2,2,0,"HYME",0.1636,1.9,0.3272,0,0.3272
"ERPA","ERPA12","T","HYME","pred",6,6,0,"HYME",0.1636,1.9,0.9816,0,0.9816
"ERPA","ERPA3","T","HYME","pred",5,2,3,"HYME",0.1636,1.9,0.3272,6.8362594634518,7.1634594634518
"ERPA","ERPA7","T","HYME","pred",6,5,1,"HYME",0.1636,1.9,0.818,2.27875315448393,3.09675315448393
"ERPA","ERPA13","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"ERPA","ERPA5","T","HYME","pred",10,6,4,"HYME",0.1636,1.9,0.9816,9.11501261793574,10.0966126179357
"ERPA","ERPA7","T","LEPI","herb",1,1,0,"LEPI",0.011,2.571,0.011,0,0.011
"ERPA","ERPA1","T","MIRID","omni",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"ERPA","ERPA12","T","MIRID","omni",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"ERPA","ERPA5","T","MIRID","omni",1,0,1,"HETE",0.0341,2.688,0,1.41609254248404,1.41609254248404
"ERPA","ERPA7","T","MIRID","omni",10,10,0,"HETE",0.0341,2.688,0.341,0,0.341
"ERPA","ERPA1","T","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"ERPA","ERPA12","T","ORTH","herb",1,1,0,"ORTH",0.0255,2.637,0.0255,0,0.0255
"ERPA","ERPA13","T","PSOC","herb",3,3,0,"PSOC",0.0425,1.637,0.1275,0,0.1275
"ERPA","ERPA13","T","STER","herb",4,4,0,"STER",0.0598,1.724,0.2392,0,0.2392
"ERPA","ERPA5","T","STER","herb",1,1,0,"STER",0.0598,1.724,0.0598,0,0.0598
"ERPA","ERPA1","T","THYS","herb",1,1,0,"THYS",0.0071,2.537,0.0071,0,0.0071
"ERPA","ERPA11","T","THYS","herb",2,2,0,"THYS",0.0071,2.537,0.0142,0,0.0142
"ERPA","ERPA7","T","THYS","herb",2,2,0,"THYS",0.0071,2.537,0.0142,0,0.0142
"ISME","ISME9","C","ARAN","pred",2,1,1,"ARAN",0.1044,2.296,0.1044,2.51785223292632,2.62225223292632
"ISME","ISME11","C","ARAN","pred",1,0,1,"ARAN",0.1044,2.296,0,2.51785223292632,2.51785223292632
"ISME","ISME12","C","ARAN","pred",2,1,1,"ARAN",0.1044,2.296,0.1044,2.51785223292632,2.62225223292632
"ISME","ISME12","C","AUCH","herb",5,5,0,"AUCH",0.0548,2.354,0.274,0,0.274
"ISME","ISME13","C","AUCH","herb",3,3,0,"AUCH",0.0548,2.354,0.1644,0,0.1644
"ISME","ISME10","C","COLE","herb",18,3,15,"COLE",0.041,2.64,0.123,23.8953553248945,24.0183553248945
