Sample,sp,plant,treat,treatw,herb,omni,pred,herb_om,flower,diameter,height,complexity,sample_g,vaccum,total_abun,plant_g,plant_kg,plant_vol,arth_mg,vac_min,kg_min,mean_kg_min,kg_vac,abun_kg,mg_kg
ISME2,ISME,2,T,T,6.022752868,0.192703153,2.994652233,6.215456021,N,0.84,0.84,17,NA,3:40,18,779.52,0.77952,0.465508633,9.203008254,3.666666667,0.212596364,0.317122167,1.162781278,15.48012541,7.914651216
ISME3,ISME,3,T,T,9.67774213,0,5.035704466,9.67774213,N,0.49,0.61,14,4.863,2:08,10,876.96,0.87696,0.1150302,14.7134466,2.133333333,0.411075,0.317122167,0.676527289,14.78136975,21.74848944
ISME4,ISME,4,T,T,13.09978951,0,5.140104466,13.09978951,N,0.58,1.04,15,10.228,3:19,19,1071.84,1.07184,0.27477626,18.23989397,3.316666667,0.323167839,0.317122167,1.051788519,18.06446795,17.34178842
ISME5,ISME,5,T,T,8.349918442,0,5.140104466,8.349918442,N,0.71,1.11,14,5.367,3:37,15,876.96,0.87696,0.439470328,13.49002291,3.616666667,0.242477419,0.317122167,1.146925169,13.07844696,11.76190328
ISME6,ISME,6,T,T,18.22092299,0,0,18.22092299,N,0.66,0.91,14,8.878,3:18,29,584.64,0.58464,0.31132869,18.22092299,3.3,0.177163636,0.317122167,1.04650315,27.7113356,17.41124524
ISME7,ISME,7,T,T,6.211357168,0,0.245,6.211357168,N,0.64,0.82,21,9.677,4:29,6,974.4,0.9744,0.263793252,6.456357168,4.483333333,0.21733829,0.317122167,1.42176438,4.220108537,4.541088001
ISME8,ISME,8,T,T,22.69933164,0,0.6404,22.69933164,N,0.77,0.8,11,7.682,3:47,27,1364.16,1.36416,0.372530057,23.33973164,3.783333333,0.360570925,0.317122167,1.199778864,22.50414707,19.45336123
ISME9,ISME,9,C,C,16.61363688,0,2.622252233,16.61363688,N,0.6,0.83,25,12.921,3:05,25,1071.84,1.07184,0.234676971,19.23588912,3.083333333,0.347623784,0.317122167,0.977793347,25.5677747,19.67275516
LUAL1,LUAL,1,T,T,10.51494213,0.0341,0.5109,10.54904213,N,0.51,1.21,4,NA,3:12,35,252.76,0.25276,0.247181295,11.05994213,3.2,0.0789875,0.195798281,0.6265545,55.86106239,17.65200335
LUAL10,LUAL,10,T,T,3.427647377,0,0.1574,3.427647377,N,0.84,0.6,7,15.044,3:03,9,505.52,0.50552,0.332506166,3.585047377,3.05,0.165744262,0.195798281,0.597184758,15.07071285,6.00324662
LUAL11,LUAL,11,T,T,29.18102639,0.1364,12.70016209,29.31742639,N,0.98,0.53,5,13.517,3:09,41,505.52,0.50552,0.39977709,42.01758848,3.15,0.16048254,0.195798281,0.616764586,66.47593094,68.12581244
LUAL12,LUAL,12,T,T,9.422036876,0.1023,5.452304466,9.524336876,N,0.81,0.7,11,5.041,2:31,51,758.28,0.75828,0.360709815,14.97664134,2.516666667,0.301303311,0.195798281,0.492759008,103.4988691,30.39344002
LUAL13,LUAL,13,T,T,9.264086474,0,0.053,9.264086474,N,0.8,0.71,10,5.249,2:18,36,631.9,0.6319,0.356884925,9.317086474,2.3,0.27473913,0.195798281,0.450336047,79.94030295,20.68918654
LUAL2,LUAL,2,C,C,3.826047377,1.450192542,7.183397008,5.276239919,N,0.83,0.72,12,1.458,2:23,27,505.52,0.50552,0.389563772,12.45963693,2.383333333,0.212106294,0.195798281,0.46665257,57.8588906,26.70002852
LUAL3,LUAL,3,C,C,2.021223688,0,1.693092542,2.021223688,N,0.64,0.59,5,3.564,2:41,15,379.14,0.37914,0.189802462,3.714316231,2.683333333,0.14129441,0.195798281,0.525392054,28.5501082,7.069608685
LUAL4,LUAL,4,T,T,0.1096,0,4.591606309,0.1096,N,0.84,0.56,7,10.151,2:42,5,505.52,0.50552,0.310339089,4.701206309,2.7,0.18722963,0.195798281,0.528655359,9.457957654,8.892762038
LUAL5,LUAL,5,C,C,0.935508676,0.0341,0.1155,0.969608676,N,0.58,0.6,5,9.867,2:35,18,315.95,0.31595,0.158524765,1.085108676,2.583333333,0.122303226,0.195798281,0.505812226,35.58632841,2.14527965
LUAL6,LUAL,6,T,T,1.137271031,4.282377627,6.858297008,5.419648659,N,0.6,0.64,3,13.333,2:12,15,379.14,0.37914,0.180955737,12.27794567,2.2,0.172336364,0.195798281,0.430756219,34.82248045,28.50323487
LUAL7,LUAL,7,T,T,3.370603456,0,10.99324271,3.370603456,N,0.8,0.68,4,NA,3:02,39,631.9,0.6319,0.341805281,14.36384616,3.033333333,0.208318681,0.195798281,0.593921453,65.66524885,24.18475725
LUAL8,LUAL,8,C,C,6.018144411,0,0,6.018144411,N,0.85,0.78,9,13.862,2:52,9,568.71,0.56871,0.442611135,6.018144411,2.866666667,0.198387209,0.195798281,0.561288406,16.03453751,10.72201803
LUAL9,LUAL,9,C,C,6.672142735,0,1.797623688,6.672142735,N,0.91,0.77,5,13.353,2:33,28,821.47,0.82147,0.500798929,8.469766423,2.55,0.322145098,0.195798281,0.499285617,56.08012538,16.96377011
SAAP1,SAAP,1,T,T,19.4854316,0,13.62858762,19.4854316,Y,0.98,1.24,12,NA,2:47,37,1433.7,1.4337,0.935327531,33.11401922,2.783333333,0.515101796,0.377672155,1.051187498,35.1982877,31.50153447
SAAP10,SAAP,10,T,T,12.54526696,0,4.884706309,12.54526696,N,1.21,0.67,13,NA,2:45,73,1529.28,1.52928,0.770433972,17.42997327,2.75,0.556101818,0.377672155,1.038598427,70.28703119,16.7822065
SAAP11,SAAP,11,T,T,24.28759223,0,0.1636,24.28759223,N,1.02,0.72,10,NA,2:32,46,1146.96,1.14696,0.588332339,24.45119223,2.533333333,0.452747368,0.377672155,0.95676946,48.07845771,25.55599155
SAAP12,SAAP,12,C,C,6.954553088,0,2.517852233,6.954553088,N,0.85,0.9,8,1.286,2:20,21,860.22,0.86022,0.510705156,9.472405321,2.333333333,0.368665714,0.377672155,0.881235029,23.83019208,10.74901135
SAAP14,SAAP,14,C,T,,,,,N,1.13,0,8,NA,2:19,43,1146.96,1.14696,0,NA,2.316666667,0.495090647,0.377672155,0.874940493,49.14619949,NA
SAAP15,SAAP,15,T,T,20.00424206,0,6.476804466,20.00424206,Y,1.07,0.65,7,16.134,4:15,38,764.64,0.76464,0.584481532,26.24188873,4.25,0.179915294,0.377672155,1.605106659,23.67443919,16.34899997
SAAP2,SAAP,2,C,C,10.2763007,0,2.726652233,10.2763007,N,0.82,0.9,14,NA,2:51,38,764.64,0.76464,0.475291553,12.52463733,2.85,0.268294737,0.377672155,1.076365642,35.30398827,11.6360434
SAAP3,SAAP,3,T,T,18.70283219,0.1023,17.49917116,18.80513219,Y,1.09,0.77,13,NA,2:18,51,1146.96,1.14696,0.7185113,35.82598775,2.3,0.498678261,0.377672155,0.868645957,58.71206744,41.24348645
SAAP4,SAAP,4,C,C,13.49550618,0,2.083823688,13.49550618,Y,1.01,1.42,17,NA,4:31,37,1624.86,1.62486,1.137682226,15.57932986,4.516666667,0.359747601,0.377672155,1.705819234,21.69045774,9.133048537
SAAP5,SAAP,5,T,T,2.366553103,4.452877627,0,6.81943073,N,1.04,0.78,9,NA,2:39,19,716.85,0.71685,0.66259959,6.101957335,2.65,0.270509434,0.377672155,1.000831211,18.98422011,6.096889533
SAAP6,SAAP,6,C,C,4.079252518,0.0341,1.891023688,4.113352518,N,1.11,0.54,11,7.58,2:34,31,1146.96,1.14696,0.522552102,5.765218408,2.566666667,0.446867532,0.377672155,0.969358531,31.97991145,5.947457231
SAAP7,SAAP,7,T,T,11.62701316,0,5.358304466,11.62701316,Y,0.91,0.78,8,NA,2:40,33,860.22,0.86022,0.507302811,16.98531763,2.666666667,0.3225825,0.377672155,1.007125747,32.76651411,16.8651409
SAAP8,SAAP,8,C,C,1.867023688,0,0,1.867023688,N,0.83,0.92,6,7.555,3:13,6,573.48,0.57348,0.497775931,1.867023688,3.216666667,0.178283938,0.377672155,1.214845432,4.938899913,1.536840522
SAAP9,SAAP,9,T,T,11.43615306,0,2.278753154,11.43615306,N,0.87,0.8,7,3.5,2:33,22,955.8,0.9558,0.475574296,13.71490622,2.55,0.374823529,0.377672155,0.963063996,22.84375711,14.24090848
SAME1,SAME,1,T,T,4.827395894,0,0.3272,4.827395894,N,0.8,0.82,5,NA,3:20,12,376.5,0.3765,0.412176956,5.154595894,3.333333333,0.11295,0.136439644,0.454798814,26.38529309,11.33379362
SAME10,SAME,10,T,T,0.086,0.1023,7.202459463,0.1883,Y,1.31,0.9,4,7.119,3:41,12,502,0.502,1.213039609,7.390759463,3.683333333,0.136289593,0.136439644,0.502552689,23.8780933,14.706437
SAME11,SAME,11,C,C,3.467647377,1.484292542,2.681452233,4.951939919,Y,1.64,1.88,8,8.657,4:03,13,753,0.753,3.971324973,7.633392152,4.05,0.185925926,0.136439644,0.552580559,23.52598149,13.81408019
SAME12,SAME,12,T,T,1.447471031,0,2.819553154,1.447471031,N,0.85,0.74,7,10.121,3:25,21,502,0.502,0.419913128,4.267024186,3.416666667,0.146926829,0.136439644,0.466168784,45.04806138,9.153388925
SAME14,SAME,14,T,T,4.649918408,0,5.228205387,4.649918408,N,0.67,1.32,14,NA,3:01,19,376.5,0.3765,0.465386111,9.878123796,3.016666667,0.12480663,0.136439644,0.411592926,46.16211499,23.9997414
SAME2,SAME,2,C,C,0.914290902,0,0.0682,0.914290902,N,1.19,1.14,6,13.579,3:31,10,627.5,0.6275,1.267910667,0.982490902,3.516666667,0.178436019,0.136439644,0.479812749,20.84146374,2.047654851
SAME3,SAME,3,T,T,4.538458308,0.0341,2.831052233,4.572558308,N,0.94,0.64,4,15.858,4:17,13,502,0.502,0.444145803,7.403610541,4.283333333,0.117198444,0.136439644,0.584416476,22.24441052,12.66838094
SAME4,SAME,4,T,T,4.577195894,0,25.9318912,4.577195894,Y,1.61,1.55,4,14.051,4:00,29,690.25,0.69025,3.155537398,30.50908709,4,0.1725625,0.136439644,0.545758577,53.13704859,55.902167
SAME5,SAME,5,T,T,1.79222586,0,0.3021,1.79222586,N,0.74,0.78,5,15.351,3:09,23,313.75,0.31375,0.335465547,2.09432586,3.15,0.099603175,0.136439644,0.429784879,53.51514472,4.872963108
SAME6,SAME,6,C,C,11.06129082,0,0.0682,11.06129082,Y,0.94,1.55,4,9.333,3:30,16,439.25,0.43925,1.075665617,11.12949082,3.5,0.1255,0.136439644,0.477538754,33.50513408,23.30594264
SAME7,SAME,7,C,T,2.450832365,0,1.920223688,2.450832365,N,0.55,0.8,8,22.3,3:15,14,439.25,0.43925,0.190066356,4.371056053,3.25,0.135153846,0.136439644,0.443428843,31.57214558,9.857401289
SAME8,SAME,8,C,C,5.57506214,0,0,5.57506214,N,0.74,0.79,6,9.281,2:57,12,376.5,0.3765,0.339766387,5.57506214,2.95,0.127627119,0.136439644,0.40249695,29.8138905,13.85119101
SAME9,SAME,9,T,C,7.20876106,0,0,7.20876106,N,1.17,1.7,6,5.949,3:12,9,439.25,0.43925,1.827723628,7.20876106,3.966666667,0.110735294,0.136439644,0.541210588,16.6293864,13.31969702
