"species","Sample","treat","ID","feed","total","L","S","Adj"
"ERFA","ERFA9","C","HEMI","herb",NA,1,0,NA
"ERFA","ERFA9","C","HEMI","omni",NA,6,5,NA
"ERFA","ERFA9","C","HYME","pred",NA,2,1,NA
"ERPA","ERPA1","T","HEMI","herb",NA,1,0,NA
"ERPA","ERPA1","T","HEMI","omni",NA,0,1,NA
"ERPA","ERPA10","C","HEMI","herb",NA,8,2,NA
"ERPA","ERPA10","C","HEMI","pred",NA,0,1,NA
"ERPA","ERPA11","T","HEMI","herb",NA,2,2,NA
"ERPA","ERPA11","T","HYME","pred",NA,0,2,NA
"ERPA","ERPA12","T","HEMI","herb",NA,0,1,NA
"ERPA","ERPA12","T","HEMI","omni",NA,0,1,NA
"ERPA","ERPA12","T","HEMI","pred",NA,0,2,NA
"ERPA","ERPA12","T","HYME","pred",NA,0,6,NA
"ERPA","ERPA3","T","COLE","pred",NA,1,0,NA
"ERPA","ERPA3","T","HEMI","herb",NA,0,3,NA
"ERPA","ERPA3","T","HYME","pred",NA,0,5,NA
"ERPA","ERPA3.1",NA,"ARAN","pred",NA,3,0,NA
"ERPA","ERPA3.1",NA,"COLE","herb",NA,1,0,NA
"ERPA","ERPA3.1",NA,"HEMI","herb",NA,7,1,NA
"ERPA","ERPA3.1",NA,"HEMI","omni",NA,1,0,NA
"ERPA","ERPA3.1",NA,"HYME","pred",NA,1,9,NA
"ERPA","ERPA4","C","COLE","pred",NA,0,2,NA
"ERPA","ERPA4","C","HEMI","herb",NA,4,5,NA
"ERPA","ERPA4","C","HYME","pred",NA,0,5,NA
"ERPA","ERPA7","T","HEMI","herb",NA,0,1,NA
"ERPA","ERPA7","T","HEMI","omni",NA,3,7,NA
"ERPA","ERPA7","T","HYME","pred",NA,1,5,NA
"ERPA","ERPA8","C","HEMI","herb",NA,0,10,NA
"ERPA","ERPA8","C","HYME","pred",NA,1,7,NA
"ISME","ISME1","T","HEMI","herb",NA,0,3,NA
"ISME","ISME12","C","HEMI","herb",NA,2,2,NA
"ISME","ISME13","C","HEMI","herb",NA,0,1,NA
"ISME","ISME4","T","HEMI","herb",NA,0,2,NA
"ISME","ISME5","T","HEMI","herb",NA,0,2,NA
"ISME","ISME6","T","HEMI","herb",NA,7,2,NA
"ISME","ISME7","T","HEMI","herb",NA,1,0,NA
"ISME","ISME7","T","HYME","pred",NA,0,1,NA
"ISME","ISME8","T","HEMI","herb",NA,3,2,NA
"ISME","ISME8","T","HYME","pred",NA,0,2,NA
"LUAL","LUAL10","T","HEMI","herb",NA,0,3,NA
"LUAL","LUAL11","T","COLE","pred",NA,0,2,NA
"LUAL","LUAL11","T","HEMI","herb",NA,4,3,NA
"LUAL","LUAL11","T","HEMI","omni",NA,4,0,NA
"LUAL","LUAL11","T","HYME","pred",NA,1,1,NA
"LUAL","LUAL12","T","COLE","pred",NA,0,1,NA
"LUAL","LUAL12","T","HEMI","herb",NA,8,25,NA
"LUAL","LUAL12","T","HEMI","omni",NA,0,3,NA
"LUAL","LUAL12","T","HYME","pred",NA,0,1,NA
"LUAL","LUAL13","T","HEMI","herb",NA,1,30,NA
"LUAL","LUAL14",NA,"ARAN","pred",NA,0,3,NA
"LUAL","LUAL14",NA,"COLE","herb",NA,2,26,NA
"LUAL","LUAL14",NA,"HEMI","herb",NA,0,1,NA
"LUAL","LUAL14",NA,"HEMI","omni",NA,0,1,NA
"LUAL","LUAL14",NA,"HEMI","pred",NA,1,0,NA
"LUAL","LUAL14",NA,"HYME","pred",NA,0,1,NA
"LUAL","LUAL2","C","HEMI","herb",NA,1,11,NA
"LUAL","LUAL2","C","HEMI","omni",NA,0,2,NA
